2021;6;18;+10°;+10°
2021;6;19;+23°;+10°
2021;6;20;+26°;+17°
2021;6;21;+27°;+13°
2021;6;22;+19°;+18°
2021;6;23;+30°;+18°
2021;6;24;+27°;+16°
2021;6;25;+32°;+18°
2021;6;26;+31°;+20°
2021;6;27;+28°;+19°
2021;6;28;+30°;+19°
2021;6;29;+32°;+20°
2021;6;30;+31°;+19°
2021;7;1;+28°;+18°
2021;7;2;+27°;+16°
2021;7;3;+27°;+16°
2021;7;4;+25°;+15°
2021;7;5;+21°;+13°
2021;7;6;+23°;+10°
2021;7;7;+24°;+11°
2021;7;8;+27°;+23°
2021;7;9;+23°;+20°
2021;7;10;+30°;+17°
2021;7;11;+23°;+14°
2021;7;12;+23°;+15°
2021;7;13;+26°;+14°
2021;7;14;+25°;+11°
2021;7;15;+27°;+12°
2021;7;16;+29°;+15°
2021;7;17;+28°;+16°
2021;7;18;+30°;+16°
2021;7;19;+29°;+18°
2021;7;20;+33°;+19°
2021;7;21;+29°;+18°
2021;7;22;+30°;+14°
2021;7;23;+22°;+12°
2021;7;24;+23°;+14°
2021;7;25;+22°;+10°
2021;7;26;+23°;+9°
2021;7;27;+25°;+12°
2021;7;28;+22°;+10°
2021;7;29;+27°;+10°
2021;7;30;+26°;+18°
2021;7;31;+30°;+17°
2021;8;1;+32°;+17°
2021;8;2;+33°;+18°
2021;8;3;+37°;+20°
2021;8;4;+38°;+22°
2021;8;5;+28°;+18°
2021;8;6;+26°;+13°
2021;8;7;+24°;+12°
2021;8;8;+28°;+15°
2021;8;9;+29°;+13°
2021;8;10;+30°;+18°
2021;8;11;+27°;+12°
2021;8;12;+29°;+10°
2021;8;13;+31°;+13°
2021;8;14;+32°;+15°
2021;8;15;+29°;+15°
2021;8;16;+34°;+17°
2021;8;17;+35°;+19°
2021;8;18;+36°;+19°
2021;8;19;+37°;+21°
2021;8;20;+38°;+21°
2021;8;21;+38°;+24°
2021;8;22;+38°;+23°
2021;8;23;+34°;+20°
2021;8;24;+35°;+18°
2021;8;25;+34°;+17°
2021;8;26;+25°;+12°
2021;8;27;+24°;+9°
2021;8;28;+23°;+8°
2021;8;29;+21°;+6°
2021;8;30;+23°;+8°
2021;8;31;+26°;+10°
2021;9;1;+30°;+18°
2021;9;2;+25°;+16°
2021;9;3;+15°;+15°
2021;9;4;+15°;+8°
2021;9;5;+14°;+7°
2021;9;6;+14°;+7°
2021;9;7;+13°;+4°
2021;9;8;+12°;+4°
2021;9;9;+14°;+8°
2021;9;10;+13°;+9°
2021;9;11;+14°;+4°
2021;9;12;+16°;+5°
2021;9;13;+21°;+9°
2021;9;14;+22°;+14°
2021;9;15;+16°;+9°
2021;9;16;+9°;+4°
2021;9;17;+9°;+6°
2021;9;18;+7°;+3°
2021;9;19;+9°;0°
2021;9;20;+10°;+1°
2021;9;21;+12°;+3°
2021;9;22;+13°;+8°
2021;9;23;+11°;+9°
2021;9;24;+15°;+8°
2021;9;25;+12°;+9°
2021;9;26;+16°;+9°
2021;9;27;+11°;+3°
2021;9;28;+9°;+1°
2021;9;29;+9°;0°
2021;9;30;+9°;0°
2021;10;1;+10°;+5°
2021;10;2;+12°;+8°
2021;10;3;+8°;+6°
2021;10;4;+7°;+1°
2021;10;5;+7°;-1°
2021;10;6;+8°;+2°
2021;10;7;+10°;+1°
2021;10;8;+12°;+2°
2021;10;9;+11°;+2°
2021;10;10;+10°;+6°
2021;10;11;+12°;+4°
2021;10;12;+13°;+5°
2021;10;13;+14°;+5°
2021;10;14;+13°;+4°
2021;10;15;+13°;+8°
2021;10;16;+10°;+3°
2021;10;17;+12°;+3°
2021;10;18;+11°;+8°
2021;10;19;+9°;+4°
2021;10;20;+4°;+1°
2021;10;21;+3°;-1°
2021;10;22;+11°;+4°
2021;10;23;+13°;+7°
2021;10;24;+9°;+4°
2021;10;25;+3°;+2°
2021;10;26;+3°;-1°
2021;10;27;+4°;0°
2021;10;28;+4°;+1°
2021;10;29;+3°;-1°
2021;10;30;+6°;-1°
2021;10;31;+10°;+6°
2021;11;1;+8°;+4°
2021;11;2;+3°;+3°
2021;11;3;+2°;-2°
2021;11;4;+1°;-3°
2021;11;5;+2°;0°
2021;11;6;+4°;0°
2021;11;7;+5°;0°
2021;11;8;+4°;0°
2021;11;9;+6°;+3°
2021;11;10;+3°;-4°
2021;11;11;-1°;-6°
2021;11;12;0°;-2°
2021;11;13;-1°;-4°
2021;11;14;-1°;-10°
2021;11;15;-6°;-13°
2021;11;16;-5°;-14°
2021;11;17;-1°;-4°
2021;11;18;-1°;-6°
2021;11;19;-1°;-3°
2021;11;20;0°;-2°
2021;11;21;+1°;-2°
2021;11;22;0°;-3°
2021;11;23;-5°;-15°
2021;11;24;-11°;-17°
2021;11;25;-2°;-12°
2021;11;26;0°;-11°
2021;11;27;-1°;-11°
2021;11;28;-2°;-12°
2021;11;29;0°;-1°
2021;11;30;+2°;-1°
2021;12;1;+2°;+1°
2021;12;2;0°;-3°
2021;12;3;+1°;-3°
2021;12;4;+2°;+1°
2021;12;5;+1°;-3°
2021;12;6;-3°;-9°
2021;12;7;-10°;-11°
2021;12;8;-3°;-11°
2021;12;9;-2°;-5°
2021;12;10;-3°;-5°
2021;12;11;-7°;-10°
2021;12;12;-8°;-11°
2021;12;13;-7°;-12°
2021;12;14;-4°;-9°
2021;12;15;-3°;-5°
2021;12;16;-2°;-3°
2021;12;17;-1°;-3°
2021;12;18;-1°;-2°
2021;12;19;-3°;-10°
2021;12;20;0°;-7°
2021;12;21;0°;-2°
2021;12;22;-9°;-21°
2021;12;23;-15°;-19°
2021;12;24;-20°;-25°
2021;12;25;-10°;-22°
2021;12;26;-5°;-10°
2021;12;27;-12°;-19°
2021;12;28;-17°;-23°
2021;12;29;-16°;-23°
2021;12;30;-10°;-20°
2021;12;31;-8°;-13°
2022;1;1;-2°;-9°
2022;1;2;0°;-1°
2022;1;3;-8°;-20°
2022;1;4;-17°;-25°
2022;1;5;-17°;-25°
2022;1;6;-4°;-24°
2022;1;7;+1°;0°
2022;1;8;-1°;-16°
2022;1;9;-14°;-21°
2022;1;10;-10°;-19°
2022;1;11;-8°;-13°
2022;1;12;-16°;-16°
2022;1;13;-10°;-16°
2022;1;14;-6°;-14°
2022;1;15;-5°;-14°
2022;1;16;-11°;-17°
2022;1;17;-8°;-17°
2022;1;18;-3°;-9°
2022;1;19;-2°;-5°
2022;1;20;-6°;-6°
2022;1;21;-10°;-18°
2022;1;22;-7°;-17°
2022;1;23;-7°;-12°
2022;1;24;-8°;-15°
2022;1;25;-10°;-20°
2022;1;26;-8°;-19°
2022;1;27;-8°;-16°
2022;1;28;-8°;-19°
2022;1;29;-8°;-17°
2022;1;30;-4°;-15°
2022;1;31;-3°;-9°
2022;2;1;-1°;-2°
2022;2;2;-1°;-4°
2022;2;3;0°;-2°
2022;2;4;0°;0°
2022;2;5;0°;-7°
2022;2;6;-2°;-12°
2022;2;7;-4°;-12°
2022;2;8;-6°;-10°
2022;2;9;-3°;-10°
2022;2;10;-5°;-7°
2022;2;11;-4°;-7°
2022;2;12;-2°;-5°
2022;2;13;-3°;-10°
2022;2;14;-7°;-16°
2022;2;15;-4°;-8°
2022;2;16;-4°;-10°
2022;2;17;-6°;-13°
2022;2;18;-3°;-14°
2022;2;19;-4°;-8°
2022;2;20;0°;-4°
2022;2;21;0°;-4°
2022;2;22;0°;-3°
2022;2;23;+1°;0°
2022;2;24;0°;-1°
2022;2;25;0°;-11°
2022;2;26;-1°;-7°
2022;2;27;0°;-2°
2022;2;28;0°;-8°
2022;3;1;0°;-11°
2022;3;2;-2°;-12°
2022;3;3;-2°;-10°
2022;3;4;0°;-10°
2022;3;5;-1°;-6°
2022;3;6;-5°;-12°
2022;3;7;-9°;-19°
2022;3;8;-8°;-23°
2022;3;9;-8°;-13°
2022;3;10;-5°;-16°
2022;3;11;-8°;-18°
2022;3;12;-9°;-24°
2022;3;13;-7°;-24°
2022;3;14;-7°;-15°
2022;3;15;-7°;-19°
2022;3;16;-7°;-21°
2022;3;17;-6°;-23°
2022;3;18;-2°;-13°
2022;3;19;0°;-15°
2022;3;20;0°;-5°
2022;3;21;0°;-3°
2022;3;22;0°;-10°
2022;3;23;+1°;0°
2022;3;24;+1°;-5°
2022;3;25;+1°;-7°
2022;3;26;0°;-10°
2022;3;27;+1°;-1°
2022;3;28;-1°;-12°
2022;3;29;+1°;-11°
2022;3;30;+1°;0°
2022;3;31;0°;-5°
2022;4;1;+2°;-1°
2022;4;2;+4°;+2°
2022;4;3;+7°;+1°
2022;4;4;+4°;+2°
2022;4;5;0°;-5°
2022;4;6;+2°;-5°
2022;4;7;+2°;0°
2022;4;8;+6°;-2°
2022;4;9;+6°;+1°
2022;4;10;+6°;+4°
2022;4;11;+9°;+4°
2022;4;12;+13°;+2°
2022;4;13;+10°;+3°
2022;4;14;+17°;+5°
2022;4;15;+8°;+7°
2022;4;16;+7°;0°
2022;4;17;+9°;0°
2022;4;18;+15°;+5°
2022;4;19;+15°;+6°
2022;4;20;+13°;+6°
2022;4;21;+9°;+5°
2022;4;22;+10°;+1°
2022;4;23;+15°;+1°
2022;4;24;+12°;+4°
2022;4;25;+16°;+9°
2022;4;26;+19°;+10°
2022;4;27;+15°;+13°
2022;4;28;+14°;+6°
2022;4;29;+8°;+1°
2022;4;30;+11°;0°
2022;5;1;+8°;+2°
2022;5;2;+11°;0°
2022;5;3;+13°;+3°
2022;5;4;+15°;+6°
2022;5;5;+12°;+3°
2022;5;6;+9°;0°
2022;5;7;+14°;+2°
2022;5;8;+16°;+5°
2022;5;9;+18°;+7°
2022;5;10;+12°;+8°
2022;5;11;+12°;+5°
2022;5;12;+10°;+4°
2022;5;13;+11°;+4°
2022;5;14;+16°;+4°
2022;5;15;+17°;+7°
2022;5;16;+13°;+9°
2022;5;17;+15°;+6°
2022;5;18;+13°;+4°
2022;5;19;+11°;+3°
2022;5;20;+10°;+2°
2022;5;21;+6°;+1°
2022;5;22;+9°;0°
2022;5;23;+9°;+3°
2022;5;24;+13°;+5°
2022;5;25;+16°;+5°
2022;5;26;+13°;+3°
2022;5;27;+17°;+5°
2022;5;28;+15°;+10°
2022;5;29;+18°;+11°
2022;5;30;+18°;+10°
2022;5;31;+18°;+8°
2022;6;1;+20°;+10°
2022;6;2;+23°;+11°
2022;6;3;+23°;+14°
2022;6;4;+21°;+14°
2022;6;5;+20°;+13°
2022;6;6;+19°;+12°
2022;6;7;+13°;+11°
2022;6;8;+10°;+8°
2022;6;9;+16°;+10°
2022;6;10;+20°;+9°
2022;6;11;+19°;+12°
2022;6;12;+13°;+7°
2022;6;13;+18°;+8°
2022;6;14;+20°;+9°
2022;6;15;+23°;+12°
2022;6;16;+24°;+15°
2022;6;17;+23°;+15°
2022;6;18;+21°;+12°
2022;6;19;+20°;+13°
2022;6;20;+16°;+11°
2022;6;21;+18°;+10°
2022;6;22;+20°;+9°
2022;6;23;+24°;+14°
2022;6;24;+18°;+13°
2022;6;25;+22°;+11°
2022;6;26;+17°;+11°
2022;6;27;+21°;+9°
2022;6;28;+15°;+8°
2022;6;29;+14°;+4°
2022;6;30;+18°;+7°
2022;7;1;+18°;+8°
2022;7;2;+20°;+10°
2022;7;3;+22°;+11°
2022;7;4;+14°;+12°
2022;7;5;+17°;+9°
2022;7;6;+22°;+10°
2022;7;7;+22°;+14°
2022;7;8;+25°;+14°
2022;7;9;+26°;+16°
2022;7;10;+27°;+16°
2022;7;11;+28°;+16°
2022;7;12;+29°;+18°
2022;7;13;+30°;+19°
2022;7;14;+28°;+19°
2022;7;15;+24°;+17°
2022;7;16;+25°;+15°
2022;7;17;+26°;+16°
2022;7;18;+27°;+18°
2022;7;19;+24°;+16°
2022;7;20;+20°;+12°
2022;7;21;+22°;+14°
2022;7;22;+24°;+13°
2022;7;23;+26°;+14°
2022;7;24;+27°;+16°
2022;7;25;+28°;+17°
2022;7;26;+26°;+15°
2022;7;27;+24°;+16°
2022;7;28;+23°;+16°
2022;7;29;+23°;+12°
2022;7;30;+25°;+13°
2022;7;31;+24°;+14°
2022;8;1;+24°;+15°
2022;8;2;+23°;+14°
2022;8;3;+24°;+14°
2022;8;4;+26°;+17°
2022;8;5;+27°;+18°
2022;8;6;+27°;+15°
2022;8;7;+28°;+17°
2022;8;8;+28°;+18°
2022;8;9;+29°;+18°
2022;8;10;+28°;+18°
2022;8;11;+23°;+15°
2022;8;12;+24°;+12°
2022;8;13;+26°;+14°
2022;8;14;+23°;+14°
2022;8;15;+24°;+11°
2022;8;16;+24°;+13°
2022;8;17;+26°;+13°
2022;8;18;+24°;+12°
2022;8;19;+22°;+9°
2022;8;20;+25°;+9°
2022;8;21;+28°;+13°
2022;8;22;+29°;+16°
2022;8;23;+30°;+16°
2022;8;24;+29°;+15°
2022;8;25;+30°;+16°
2022;8;26;+29°;+17°
2022;8;27;+30°;+17°
2022;8;28;+30°;+16°
2022;8;29;+30°;+16°
2022;8;30;+31°;+17°
2022;8;31;+31°;+19°
2022;9;1;+29°;+18°
2022;9;2;+23°;+14°
2022;9;3;+17°;+6°
2022;9;4;+16°;+6°
2022;9;5;+16°;+7°
2022;9;6;+13°;+7°
2022;9;7;+12°;+4°
2022;9;8;+12°;+7°
2022;9;9;+9°;+6°
2022;9;10;+12°;+5°
2022;9;11;+13°;+6°
2022;9;12;+14°;+6°
2022;9;13;+16°;+5°
2022;9;14;+19°;+9°
2022;9;15;+19°;+14°
2022;9;16;+16°;+11°
2022;9;17;+16°;+11°
2022;9;18;+20°;+14°
2022;9;19;+28°;+18°
2022;9;20;+21°;+15°
2022;9;21;+25°;+14°
2022;9;22;+27°;+17°
2022;9;23;+26°;+15°
2022;9;24;+23°;+15°
2022;9;25;+12°;+8°
2022;9;26;+12°;+7°
2022;9;27;+7°;+4°
2022;9;28;+7°;+2°
2022;9;29;+8°;+5°
2022;9;30;+6°;+4°
2022;10;1;+10°;+5°
2022;10;2;+14°;+7°
2022;10;3;+17°;+10°
2022;10;4;+15°;+7°
2022;10;5;+11°;+8°
2022;10;6;+12°;+6°
2022;10;7;+11°;+4°
2022;10;8;+9°;+7°
2022;10;9;+14°;+6°
2022;10;10;+15°;+6°
2022;10;11;+12°;+9°
2022;10;12;+16°;+9°
2022;10;13;+10°;+8°
2022;10;14;+9°;+6°
2022;10;15;+6°;+4°
2022;10;16;+8°;+4°
2022;10;17;+10°;+4°
2022;10;18;+7°;+3°
2022;10;19;+8°;+6°
2022;10;20;+6°;+4°
2022;10;21;+6°;0°
2022;10;22;+3°;-2°
2022;10;23;+4°;-2°
2022;10;24;+6°;+1°
2022;10;25;+4°;+1°
2022;10;26;+2°;-1°
2022;10;27;+2°;-2°
2022;10;28;+2°;-1°
2022;10;29;+3°;0°
2022;10;30;+4°;+2°
2022;10;31;+5°;0°
2022;11;1;+2°;0°
2022;11;2;0°;-4°
2022;11;3;0°;-4°
2022;11;4;-1°;-7°
2022;11;5;0°;-5°
2022;11;6;0°;-6°
2022;11;7;-1°;-7°
2022;11;8;0°;-3°
2022;11;9;+1°;0°
2022;11;10;+2°;+1°
2022;11;11;+4°;+2°
2022;11;12;+5°;+3°
2022;11;13;+7°;+1°
2022;11;14;+1°;-4°
2022;11;15;-5°;-6°
2022;11;16;-5°;-9°
2022;11;17;-3°;-10°
2022;11;18;-1°;-3°
2022;11;19;0°;-9°
2022;11;20;-4°;-14°
2022;11;21;-8°;-13°
2022;11;22;-8°;-16°
2022;11;23;0°;-16°
2022;11;24;+1°;-3°
2022;11;25;-1°;-3°
2022;11;26;-1°;-8°
2022;11;27;-6°;-13°
2022;11;28;-10°;-17°
2022;11;29;-11°;-20°
2022;11;30;-10°;-18°
2022;12;1;-8°;-15°
2022;12;2;-13°;-20°
2022;12;3;-15°;-22°
2022;12;4;-12°;-22°
2022;12;5;-12°;-20°
2022;12;6;-13°;-21°
2022;12;7;-14°;-21°
2022;12;8;-14°;-20°
2022;12;9;-13°;-20°
2022;12;10;-9°;-13°
2022;12;11;-5°;-8°
2022;12;12;-5°;-8°
2022;12;13;-7°;-14°
2022;12;14;-4°;-14°
2022;12;15;-8°;-14°
2022;12;16;-4°;-16°
2022;12;17;-3°;-7°
2022;12;18;+1°;-3°
2022;12;19;+1°;-10°
2022;12;20;-12°;-18°
2022;12;21;-11°;-21°
2022;12;22;-3°;-22°
2022;12;23;0°;-1°
2022;12;24;+1°;-5°
2022;12;25;-5°;-9°
2022;12;26;-5°;-10°
2022;12;27;-6°;-18°
2022;12;28;-6°;-18°
2022;12;29;-7°;-14°
2022;12;30;-7°;-17°
2022;12;31;-8°;-20°
2023;1;1;-3°;-6°
2023;1;2;0°;-3°
2023;1;3;-3°;-10°
2023;1;4;-4°;-15°
2023;1;5;-11°;-22°
2023;1;6;-4°;-18°
2023;1;7;-25°;-33°
2023;1;8;-22°;-33°
2023;1;9;-29°;-37°
2023;1;10;-25°;-36°
2023;1;11;-18°;-30°
2023;1;12;-13°;-23°
2023;1;13;-12°;-16°
2023;1;14;-11°;-14°
2023;1;15;-9°;-17°
2023;1;16;-12°;-19°
2023;1;17;-11°;-19°
2023;1;18;-10°;-19°
2023;1;19;-8°;-19°
2023;1;20;-9°;-19°
2023;1;21;-10°;-19°
2023;1;22;-8°;-15°
2023;1;23;-8°;-17°
2023;1;24;-9°;-19°
2023;1;25;-8°;-18°
2023;1;26;-6°;-15°
2023;1;27;-4°;-9°
2023;1;28;-7°;-15°
2023;1;29;-10°;-18°
2023;1;30;-5°;-16°
2023;1;31;-5°;-7°
2023;2;1;-7°;-19°
2023;2;2;-6°;-19°
2023;2;3;-6°;-15°
2023;2;4;-6°;-12°
2023;2;5;-6°;-12°
2023;2;6;-6°;-11°
2023;2;7;-10°;-20°
2023;2;8;-9°;-22°
2023;2;9;-5°;-12°
2023;2;10;-3°;-12°
2023;2;11;-6°;-13°
2023;2;12;-8°;-13°
2023;2;13;-3°;-9°
2023;2;14;-4°;-8°
2023;2;15;-7°;-11°
2023;2;16;-1°;-11°
2023;2;17;-5°;-10°
2023;2;18;-10°;-20°
2023;2;19;-9°;-23°
2023;2;20;-8°;-24°
2023;2;21;-4°;-13°
2023;2;22;-3°;-10°
2023;2;23;-5°;-10°
2023;2;24;-10°;-18°
2023;2;25;-4°;-11°
2023;2;26;0°;-4°
2023;2;27;+1°;-1°
2023;2;28;-3°;-9°
2023;3;1;-3°;-9°
2023;3;2;-5°;-9°
2023;3;3;-3°;-14°
2023;3;4;0°;-5°
2023;3;5;0°;-1°
2023;3;6;-2°;-5°
2023;3;7;-3°;-7°
2023;3;8;0°;-12°
2023;3;9;+1°;0°
2023;3;10;+2°;+1°
2023;3;11;+2°;-8°
2023;3;12;+2°;-9°
2023;3;13;+3°;-1°
2023;3;14;0°;-5°
2023;3;15;+1°;-4°
2023;3;16;+2°;-4°
2023;3;17;+3°;-2°
2023;3;18;0°;-4°
2023;3;19;0°;-7°
2023;3;20;0°;-4°
2023;3;21;+2°;-4°
2023;3;22;+3°;-1°
2023;3;23;+3°;-2°
2023;3;24;+4°;+1°
2023;3;25;+7°;+1°
2023;3;26;+7°;+2°
2023;3;27;+11°;+3°
2023;3;28;+8°;+5°
2023;3;29;+5°;0°
2023;3;30;+5°;0°
2023;3;31;+6°;0°
2023;4;1;+5°;+2°
2023;4;2;+10°;+2°
2023;4;3;+12°;+2°
2023;4;4;+14°;+3°
2023;4;5;+15°;+6°
2023;4;6;+10°;+4°
2023;4;7;+7°;+2°
2023;4;8;+8°;0°
2023;4;9;+10°;+1°
2023;4;10;+11°;+3°
2023;4;11;+10°;+2°
2023;4;12;+15°;+5°
2023;4;13;+16°;+6°
2023;4;14;+5°;0°
2023;4;15;+4°;-4°
2023;4;16;+7°;0°
2023;4;17;+11°;0°
2023;4;18;+14°;+5°
2023;4;19;+15°;+7°
2023;4;20;+15°;+7°
2023;4;21;+16°;+8°
2023;4;22;+9°;+7°
2023;4;23;+16°;+6°
2023;4;24;+19°;+8°
2023;4;25;+20°;+10°
2023;4;26;+17°;+14°
2023;4;27;+11°;+11°
2023;4;28;+20°;+11°
2023;4;29;+21°;+10°
2023;4;30;+25°;+11°
2023;5;1;+26°;+15°
2023;5;2;+24°;+15°
2023;5;3;+23°;+14°
2023;5;4;+20°;+15°
2023;5;5;+20°;+13°
2023;5;6;+21°;+8°
2023;5;7;+10°;+3°
2023;5;8;+9°;0°
2023;5;9;+11°;0°
2023;5;10;+15°;+4°
2023;5;11;+18°;+6°
2023;5;12;+12°;+7°
2023;5;13;+15°;+7°
2023;5;14;+17°;+7°
2023;5;15;+17°;+9°
2023;5;16;+20°;+10°
2023;5;17;+22°;+10°
2023;5;18;+18°;+9°
2023;5;19;+12°;+7°
2023;5;20;+20°;+9°
2023;5;21;+22°;+10°
2023;5;22;+24°;+12°
2023;5;23;+25°;+13°
2023;5;24;+27°;+14°
2023;5;25;+28°;+15°
2023;5;26;+27°;+16°
2023;5;27;+26°;+17°
2023;5;28;+28°;+19°
2023;5;29;+24°;+15°
2023;5;30;+26°;+13°
2023;5;31;+29°;+18°
2023;6;1;+23°;+16°
2023;6;2;+28°;+15°
2023;6;3;+22°;+17°
2023;6;4;+26°;+16°
2023;6;5;+19°;+9°
2023;6;6;+13°;+9°
2023;6;7;+18°;+8°
2023;6;8;+20°;+9°
2023;6;9;+19°;+7°
2023;6;10;+22°;+11°
2023;6;11;+15°;+7°
2023;6;12;+13°;+7°
2023;6;13;+18°;+7°
2023;6;14;+18°;+8°
2023;6;15;+22°;+14°
2023;6;16;+20°;+15°
2023;6;17;+24°;+14°
2023;6;18;+17°;+8°
2023;6;19;+14°;+5°
2023;6;20;+13°;+3°
2023;6;21;+14°;+4°
2023;6;22;+13°;+7°
2023;6;23;+18°;+8°
2023;6;24;+19°;+8°
2023;6;25;+18°;+10°
2023;6;26;+17°;+8°
2023;6;27;+22°;+8°
2023;6;28;+23°;+12°
2023;6;29;+24°;+12°
2023;6;30;+27°;+14°
2023;7;1;+25°;+16°
2023;7;2;+21°;+14°
2023;7;3;+25°;+13°
2023;7;4;+27°;+17°
2023;7;5;+27°;+17°
2023;7;6;+28°;+18°
2023;7;7;+28°;+17°
2023;7;8;+29°;+16°
2023;7;9;+31°;+18°
2023;7;10;+35°;+20°
2023;7;11;+35°;+22°
2023;7;12;+28°;+14°
2023;7;13;+22°;+11°
2023;7;14;+19°;+12°
2023;7;15;+23°;+12°
2023;7;16;+21°;+13°
2023;7;17;+20°;+15°
2023;7;18;+21°;+13°
2023;7;19;+26°;+14°
2023;7;20;+22°;+13°
2023;7;21;+24°;+12°
2023;7;22;+22°;+15°
2023;7;23;+24°;+12°
2023;7;24;+21°;+15°
2023;7;25;+25°;+14°
2023;7;26;+26°;+16°
2023;7;27;+29°;+17°
2023;7;28;+32°;+19°
2023;7;29;+34°;+20°
